nome_produto,valor_unitario,estoque
Land,444.78,222
Significant,7.41,640
Resource,231.88,539
Magazine,325.84,601
Make,479.89,535
Top,347.48,259
Star,82.9,381
Weight,8.08,969
Finish,208.05,17
Boy,123.44,915
How,497.85,897
Drug,357.14,360
Themselves,233.93,636
Table,314.7,797
Chair,349.08,907
Whole,135.13,48
Close,142.1,392
Probably,314.83,390
These,95.59,21
Quite,455.5,226
Win,293.36,92
Future,425.16,731
Really,270.27,579
Other,9.7,94
Government,125.58,819
About,229.44,823
Window,129.24,576
Pattern,173.8,38
Whether,470.53,126
Decade,65.48,473
Cover,402.53,359
Six,195.96,476
Practice,338.92,806
Difficult,23.93,993
Expert,475.55,841
Marriage,57.5,327
Throw,366.44,399
Some,492.1,984
Thought,456.63,289
Believe,16.36,800
Well,115.41,832
Dinner,236.34,279
Growth,16.02,142
Police,178.58,941
Much,119.17,169
If,285.33,712
Add,484.5,412
By,448.46,576
Require,73.11,151
Sense,55.88,111
Thing,348.61,137
Adult,283.43,732
Up,107.24,351
News,489.48,643
Family,194.58,435
Assume,145.38,370
Trade,182.67,829
Lead,351.44,215
Entire,75.72,431
Democrat,112.28,488
Television,220.73,550
Paper,73.05,858
Whatever,356.72,118
Yet,56.33,966
For,63.65,999
Project,326.76,702
Issue,359.61,444
Change,206.26,209
Into,356.99,250
Tax,178.14,66
Point,266.04,751
Table,54.8,361
Grow,235.82,254
Oil,485.9,283
He,349.55,207
A,178.72,307
Miss,214.13,997
Put,456.44,464
Become,80.29,349
Hard,429.92,48
Maintain,429.67,255
Doctor,142.49,216
Peace,340.51,711
Gun,228.52,479
Leave,267.12,5
Pull,22.75,854
Nor,83.73,175
Require,423.69,146
Begin,493.69,498
Air,268.12,801
Camera,33.03,221
Attention,163.99,831
Light,342.05,963
Drive,365.74,939
Step,213.07,701
Line,377.44,307
Full,467.96,738
Physical,347.1,228
May,85.07,76
Economy,338.19,416
Candidate,411.99,627
Clearly,125.4,579
Reason,290.54,974
Up,74.96,492
Drug,286.79,919
Health,213.73,139
Cause,43.06,788
About,11.01,569
Sister,473.66,774
None,170.48,540
Vote,398.45,100
All,207.96,701
Though,350.53,851
Of,488.54,886
Sport,118.26,490
Simply,272.65,832
Head,84.04,761
Whole,86.98,842
Focus,383.38,801
Course,444.0,710
Child,380.22,394
Fact,472.26,634
Hundred,150.52,435
Organization,49.25,383
Child,301.0,115
Huge,342.59,528
Air,180.8,377
Table,423.33,990
Technology,140.88,608
Often,115.97,756
Outside,119.97,561
Low,266.57,965
Ahead,9.28,277
Although,84.52,950
Special,449.04,967
Image,486.97,433
More,154.38,767
Early,310.87,422
Population,108.05,298
Police,263.9,46
Race,100.23,240
Choose,53.07,207
Along,38.27,341
Win,75.96,149
Attack,317.4,264
Add,218.49,639
Tonight,141.6,998
Detail,285.13,630
Senior,183.11,336
Morning,200.6,537
Camera,151.08,832
Letter,283.28,668
Worry,440.42,699
Last,112.68,249
Notice,114.37,909
Ok,242.79,603
Challenge,50.25,469
Into,123.36,452
Others,493.41,501
Front,174.97,807
Feel,63.91,645
May,322.3,389
Reveal,474.77,824
Form,485.96,126
Cost,228.43,424
American,233.64,770
Who,84.75,411
Fill,422.44,820
Start,352.43,125
Recently,317.26,818
Must,50.36,590
Answer,331.19,972
Fish,389.07,442
Sport,401.71,796
Help,395.6,884
Push,283.94,959
Line,329.19,550
Away,135.26,559
Add,105.83,850
Whole,122.64,656
Thing,81.98,206
Just,433.69,610
Guess,456.09,134
Team,9.71,75
Song,205.49,922
Interesting,10.09,926
Somebody,488.68,606
Trial,181.64,772
Military,208.65,153
Environment,148.09,58
Sense,389.45,485
Rate,30.1,419
House,393.01,796
Able,99.03,760
Quickly,413.55,704
Between,219.34,938
Girl,363.29,946
On,76.76,197
Heart,171.85,533
Look,308.33,901
Pm,192.82,998
Area,434.51,302
Section,157.51,530
What,416.74,871
Follow,49.22,522
Really,306.19,207
Image,270.08,917
Trip,362.2,32
Anything,166.49,914
Sport,396.14,212
Far,145.97,985
Its,116.88,854
Entire,10.49,29
State,457.7,984
Address,396.25,175
Example,108.04,417
Ask,51.56,72
Certain,285.72,400
Development,364.54,608
Evidence,282.97,704
Six,396.15,278
Talk,83.14,457
Newspaper,488.07,741
Page,96.02,4
Professor,63.58,797
She,96.05,671
Future,390.35,582
Government,233.37,587
System,238.25,163
Black,279.88,775
Such,453.21,733
Ready,68.2,766
Star,296.23,331
National,446.15,620
Summer,131.52,303
The,109.58,46
Vote,410.61,952
According,12.81,334
Order,28.45,894
Water,244.38,795
Might,242.13,769
Kind,271.79,797
Need,224.51,926
Mention,202.15,838
Of,121.56,530
White,72.8,710
We,324.55,906
Rock,49.72,130
Theory,366.43,91
Produce,113.04,345
Themselves,72.36,47
So,121.0,893
Much,99.23,367
Certain,497.37,747
Care,445.02,954
Threat,433.57,83
Past,448.46,452
Local,92.94,547
Author,128.06,406
Age,217.34,509
Work,377.55,49
House,314.62,762
Reach,136.42,947
Through,144.43,850
